evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,VERIFIED_CONFIGURED_CHECKS_ONLY,23154.0841200000,23154.0841200000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16352.3852800000,16352.3852800000,0.6000000000,0.6000000000,0.5500000000,3.0000000000,1.0000000000,104,111,102,110,102,112
3,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17786.6458000000,16352.3852800000,0.5750000000,0.6000000000,0.6000000000,3.0000000000,1.0000000000,104,110,101,111,101,111
4,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16651.1009400000,16352.3852800000,0.5500000000,0.5500000000,0.7500000000,3.0000000000,1.0000000000,104,112,104,110,100,110
5,neighbor,False,MINIMUM_STEEL,999999999.0000000000,16352.3852800000,0.5500000000,0.5500000000,0.5500000000,3.0000000000,1.0000000000,104,110,100,110,100,111
6,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,16352.3852800000,0.5000000000,0.5000000000,0.7500000000,2.5000000000,0.9000000000,104,110,101,110,104,112
7,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15588.3623050000,15588.3623050000,0.5750000000,0.6000000000,0.6500000000,3.0000000000,1.0000000000,104,113,102,111,103,111
8,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15375.3087600000,15375.3087600000,0.5250000000,0.6000000000,0.6000000000,3.5000000000,0.9000000000,103,113,100,110,102,110
9,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,15375.3087600000,0.4750000000,0.6000000000,0.6000000000,3.5000000000,0.9000000000,104,113,100,112,100,112
10,neighbor,False,MINIMUM_STEEL,999999999.0000000000,15375.3087600000,0.4750000000,0.5500000000,0.6500000000,3.5000000000,0.8000000000,102,113,100,111,104,111
11,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15206.5932600000,15206.5932600000,0.5000000000,0.5000000000,0.6500000000,3.5000000000,0.9000000000,103,112,100,110,103,112
12,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,15206.5932600000,0.4750000000,0.5500000000,0.5000000000,3.5000000000,0.8000000000,101,112,101,110,103,113
13,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,15206.5932600000,0.4500000000,0.4500000000,0.7000000000,3.0000000000,0.7000000000,101,113,100,110,102,110
14,neighbor,False,MINIMUM_STEEL,999999999.0000000000,15206.5932600000,0.5000000000,0.5000000000,0.6500000000,3.5000000000,0.7000000000,104,112,100,111,103,111
15,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16515.4511850000,15206.5932600000,0.5250000000,0.6000000000,0.7500000000,3.5000000000,0.8000000000,101,110,100,110,104,112
16,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,18173.1957750000,15206.5932600000,0.4750000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,104,110,100,110,101,110
17,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16703.7007800000,15206.5932600000,0.4500000000,0.4500000000,0.5500000000,3.5000000000,0.8000000000,104,110,102,112,101,112
18,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,15206.5932600000,0.4500000000,0.4500000000,0.4500000000,3.5000000000,1.0000000000,102,113,100,112,104,113
19,neighbor,False,MINIMUM_STEEL,999999999.0000000000,15206.5932600000,0.4000000000,0.4000000000,0.7500000000,3.5000000000,1.0000000000,104,113,100,112,104,112
20,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14286.9938680000,14286.9938680000,0.5000000000,0.6000000000,0.7500000000,3.0000000000,0.7000000000,102,113,101,111,104,113
21,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14286.9938680000,0.4500000000,0.6000000000,0.7500000000,2.5000000000,0.7000000000,100,111,103,113,102,113
22,reset,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14286.9938680000,0.4000000000,0.4000000000,0.5000000000,2.5000000000,0.7000000000,102,113,101,111,104,113
23,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14286.9938680000,0.4250000000,0.4500000000,0.3000000000,2.5000000000,0.8000000000,101,113,100,111,104,112
24,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,12687.6289620000,12687.6289620000,0.4500000000,0.5000000000,0.4500000000,3.0000000000,0.7000000000,104,113,100,110,104,113
25,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,12474.4331150000,12474.4331150000,0.4750000000,0.5500000000,0.4500000000,3.0000000000,0.8000000000,103,113,100,110,102,111
26,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,13339.8632400000,12474.4331150000,0.4750000000,0.6000000000,0.6000000000,3.0000000000,0.8000000000,103,113,100,110,102,113
27,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,12474.4331150000,0.5000000000,0.5500000000,0.5500000000,2.5000000000,0.8000000000,102,113,100,111,100,111
28,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,12474.4331150000,0.4500000000,0.4500000000,0.3000000000,2.5000000000,0.9000000000,102,113,102,112,101,110
29,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,11739.7175280000,11739.7175280000,0.4500000000,0.4500000000,0.3000000000,3.0000000000,0.8000000000,104,113,100,110,102,110
30,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,13517.6154300000,11739.7175280000,0.4250000000,0.5000000000,0.3000000000,3.0000000000,0.6000000000,104,111,100,110,102,110
31,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,11739.7175280000,0.4250000000,0.5500000000,0.4500000000,2.5000000000,0.6000000000,104,111,100,110,103,112
32,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,11739.7175280000,0.4000000000,0.4000000000,0.3500000000,2.5000000000,0.7000000000,104,113,100,110,104,111
33,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,11739.7175280000,0.4000000000,0.5500000000,0.3000000000,2.5000000000,1.0000000000,104,113,101,110,101,110
34,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,13891.5664800000,11739.7175280000,0.4000000000,0.4000000000,0.3000000000,3.0000000000,0.9000000000,104,111,102,110,103,110
35,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,11739.7175280000,0.4000000000,0.4000000000,0.3000000000,2.5000000000,0.6000000000,102,113,100,111,102,111
36,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,12417.0257000000,11739.7175280000,0.4500000000,0.5000000000,0.3000000000,3.0000000000,0.6000000000,103,113,101,111,103,110
37,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,11739.7175280000,0.4500000000,0.5000000000,0.3000000000,2.5000000000,0.6000000000,102,113,100,110,101,110
